Game Name,Player Count,x coordinate,y coordinate,Square Number,Next Square Number,type,misc1,misc2,sound
video-demo,4,,,,,,,
,,113,163,1,2,start,,,
,,187,155,2,3,,,,
,,268,148,3,4,ladder,17,,
,,358,146,4,5,,,,
,,449,141,5,6,reroll,,,
,,535,137,6,7,,,,
,,610,134,7,8,,,,
,,680,136,8,9,,,,
,,737,142,9,10,,,,
,,798,168,10,11,reroll,,,
,,823,239,11,12,,,,
,,783,314,12,13,,,,
,,717,342,13,14,ladder,28,,
,,641,348,14,15,,,,
,,557,348,15,16,skip,,,
,,481,343,16,17,,,,
,,407,340,17,18,,,,
,,338,340,18,19,,,,
,,275,340,19,20,,,,
,,189,367,20,21,skip,,,
,,133,442,21,22,,,,
,,171,516,22,23,,,,
,,237,547,23,24,,,,
,,313,554,24,25,,,,
,,391,550,25,26,,,,
,,479,541,26,27,ladder,16,,
,,577,527,27,28,,,,
,,651,523,28,29,,,,
,,731,523,29,30,,,,
,,828,529,30,31,finish,,,
,,51,592,31,32,dice,,,
